
str_yes|Si.
str_npc24_personalityclash2_speech_b|Ho visto quella codarda nelle retrovie, a scagliare a malapena una freccia o due a casaccio contro il nemico. Ho detto 'lasciatela andare affinché si prenda cura degli uccelli e delle api, così noi potremo continuare con il maledetto compito di trucidare i nemici'.
str_npc25_personalityclash2_speech_b|Io odio {s11}.
str_npc26_personalityclash2_speech_b|Io odio {s11}.
str_npc27_personalityclash2_speech_b|Io odio {s11}.
str_npc18_personalitymatch_speech|Oh Grande, hai notato quanto sia letale Lykyada in battaglia ? Come sono veloci le sue frecce, quanto è affilata la sua spada ! Con il tuo permesso, oh Grande, vorrei dedicare più tempo ad addestrarmi sotto la sua guida. Ha molto da insegnarmi, cose che potrebbero rendermi più utile a te.
str_npc19_personalitymatch_speech|La gioia della battaglia mi scorre nel sangue ! E anche in Varfang, a quanto vedo. Quello scatena un terrore da contemplare sul campo di battaglia, ride mentre incalza i nemici senza valore che fuggono. Questi uomini dell'Est mi affascinano, Comandante. Possiamo apprendere molto dalla loro abilità coi cavalli, se i Rohirrim non insegneranno qualcosa ai Dunlandiani, certo.
str_npc20_personalitymatch_speech|Guarda Bolzog. Bolzog il Grande ! Guarda come si affretta con la sua andatura con le gambe arcuate, andando e venendo al mio capriccio, facendo tutto quello che gli chiedo. Proprio come dovrebbe essere un vero e proprio "urku", dico io. Mi piace abbastanza, comandante. Bolzog ! Portami l'unguento ! Adesso !
str_npc21_personalitymatch_speech|Ah Capo ! Ieri sera, giusto, ho osservato per un po' quel povero piccolo corrotto di Ufthak. E' un ragazzino divertente, certo ! Gli ho fatto cucinare della carne che aveva nascosto, giusto, e poi l'ho mangiata, proprio davanti alla sua faccia ! Accidenti se non ha strillato strabuzzando gli occhi ! Avresti dovuto vedere come gli cola il naso quando urla, gli esce un fiume dal naso ! Ha ! Alla fine non è male averlo attorno !
str_npc22_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc23_personalitymatch_speech|{playername}, per quanto io detesti le battaglie, non ho potuto fare a meno di notare il mio Signore {s11} cavalcare in pieno splendore e avventarsi sulle orribili creature come un falco.
str_npc24_personalitymatch_speech|Insanguinato e vittorioso, proprio come piace a me ! Tuttavia, ho subito una ferita che {s11} ha gentilmente provveduto a bendare prontamente.  
str_npc25_personalitymatch_speech|Un'altra vittoria per te, comandante, e ammiro la tua abilità nel risparmiare le vite dei nostri uomini. Guerrieri come {s11} sembrano essere di grande aiuto nei tuoi piani di battaglia.
str_npc26_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc27_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc18_personalitymatch_speech_b|Grande, questo spiega perché un guerriero come Lykyada combatta sotto il tuo stendardo. Pensavo che tutti i meridionali fossero deboli e decadenti, non tanto diversi dagli uomini dell'Ovest, ma se hanno altra gente come lui fra i loro ranghi, allora i giorni dell'Occidente stanno davvero arrivando al termine.
str_npc19_personalitymatch_speech_b|Comandante, Varfang e io stavamo bevendo del vino attorno al fuoco dell'accampamento la scorsa notte. L'ho profondamente consigliato di essere consapevole delle azioni dei suoi antenati, come dovrebbe essere. Non so se, come dice, gli spiriti dei nostri avi sono fra noi. In effetti, il pensiero non mi piace. Ma un re deve conoscere la storia del proprio lignaggio, delle madri e dei padri prima di lui. Varfang è uno di quelli che sa.
str_npc20_personalitymatch_speech_b|Non ho mai incontrato un 'urku' come Bolzog. Oh, ti concedo che non è bello da vedere, ma in tutti i miei lunghi anni è il primo che abbia mai incontrato e che può fare di più che semplicemente sgattaiolare, muoversi furtivamente e massacrare. Le sue mani nodose sono sorprendentemente abili. Sì, così incredibilmente abile... Può darsi che possa imparare di più sulle arti delle ossa e dei tendini di quanto non avessi immaginato all'inizio.
str_npc21_personalitymatch_speech_b|Quello stupido di Ufthak continua a cercare di sgattaiolare via, ma lo prenderò sempre, sì, lo farò. È quasi come ai vecchi tempi, capo. Quando avevo i miei ragazzi della banda al mio servizio. O molto tempo fa sulle montagne, quando avevo con me i miei ragazzi: Bert, Bill e Tom... Ah bene. Quei giorni sono ormai lontani.. Dov'è andato quel piccolo furfante di un ratto adesso, eh ? Uftak ! Vieni qui, brutto imbroglione !
str_npc22_personalitymatch_speech_b|Mi piace {s11}.
str_npc23_personalitymatch_speech_b|Pensavo a quanto fosse vecchio.  Forse una dozzina di secoli più di me ? Non importa, tu non capiresti.
str_npc24_personalitymatch_speech_b|{s11} e i combattenti di Dale, sebbene non possano essere considerati allo stesso livello dei guerrieri nani, stanno dimostrando di essere un valido aiuto in questa guerra. Se posso permettermi, credo che siano, fra gli umani, una buona scelta sia come amici che come alleati.
str_npc25_personalitymatch_speech_b|Quali amici e protettori, la gente di Dale ha una profonda considerazione per il popolo dei Nani che vive nella Montagna Solitaria, nonostante la differenza di razza, usi e costumi.
str_npc26_personalitymatch_speech_b|Mi piace {s11}.
str_npc27_personalitymatch_speech_b|Mi piace {s11}.
str_npc18_retirement_speech|Penso di volermi fermare e tirar su una famiglia e, non lo so, fare ricami o merda simile. Addio.
str_npc19_retirement_speech|Ascolta, quei tipi bizzarri che vanno in giro a rivendicare la regalità di un bastardo, non sono la miglior base su cui costruire un governo.
str_npc20_retirement_speech|Forse la rabbia non è la strada giusta. Tutto ciò di cui abbiamo bisogno è amore. Perché non possiamo andare tutti d'accordo?
str_npc21_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc22_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc23_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc24_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc25_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc26_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc27_retirement_speech|Sto diventando un po' stanco della vita del guerriero, mi ritirerò.
str_npc18_rehire_speech|La mia lama è ancora assetata di sangue, oh Grande. Lasciami venire con te ancora !
str_npc19_rehire_speech|È bello rivederti, Comandante. Dammi il permesso di ricongiungermi alla tua compagnia.
str_npc20_rehire_speech|Andiamo via, Comandante. Questa guerra non sarà vinta con l'ozio !
str_npc21_rehire_speech|Come va, capo ? Devo fare i bagagli e ripartire con te ?
str_npc22_rehire_speech|È bello ritrovarti, {playername}. Viaggiamo di nuovo assieme.
str_npc23_rehire_speech|È bello rivederti, {playername}. Proseguiamo insieme il cammino.
str_npc24_rehire_speech|La mia ascia è pronta, {playername}. Devo riunirmi al tuo esercito ?
str_npc25_rehire_speech|Qual buon vento ti porta? Devo riunirmi al tuo esercito ?
str_npc26_rehire_speech|Gulm è di nuovo pronto ad uccidere per te. Stiamo partendo ?
str_npc27_rehire_speech|Posso servirti ancora una volta ?
str_npc18_home_intro|Ah, l'Anduin. Oh Grande, avrai udito delle grandi vittorie dei Carrieri molte generazioni fa? Strinsero un'alleanza con noi Variaghi, e insieme i nostri guerrieri schiacciarono le pietose armate di Gondor, sotto il re che chiamavano Ondoher. Che glorioso massacro devono essersi goduti i nostri antenati !
str_npc19_home_intro|Ah, Edoras. Il posto che mi spetta. Guarda lassù, Comandante, verso il Palazzo d'Oro. Solo qualche generazione fa, fu proprio alle porte di Meduseld che l'ultimo figlio di Helm Mandimartello venne ucciso, e quindi Wulf divenne re, per un certo tempo. Non il Wulf che ora è un campo nel Dunland, naturalmente - quello è un mero bastardo che porta il nome di un essere più grande.
str_npc20_home_intro|Ah, la Montagna Solitaria. L'ultimo bastione della Gente di Durin, non è così anche ora, in questi ultimi giorni? È bello poterlo vedere infine con i miei occhi. Bello, si... ma non così piacevole come il ricordo dei momenti della morte di quel nano, momenti che allungai grazie alle mie arti. Sono dei tipi tosti i Nani, davvero ! Eppure Aulë il Creatore, non ha fatto loro alcun favore nel renderli così capaci di soffrire.
str_npc21_home_intro|Oi, capo ! Ecco un brutto posto ! Dol Guldur, il luogo più oscuro in cui si nascondono le peggiori cose. Tutti quegli alberi attorno e non uno scoiattolo succoso, non un uccello gustoso su quei rami. Non c'è bisogno di essere una strega o qualcosa di simile per conoscere l'odore degli Oscuri, si riconosce subito.
str_npc22_home_intro|Daro - Alt - ! Ecco la fortezza di Angrenost e, al centro d'essa, svetta la torre di Orthanc. Molte cose sono cambiate dall'ultima volta che ho visto questo luogo, e nessuna d'esse in bene.
str_npc23_home_intro|Perdonami, {playername}. I sentieri da questa parte diventano più contorti, alcuni d'essi portano a vicoli ciechi. Ci stiamo avvicinando a Dol Guldur.
str_npc24_home_intro|Hey, capitano ! Questo dev'essere il vecchio sentiero che va fino all'entrata orientale di Khazad-dûm, o Moria, se preferisci. Si può vedere in lontananza il lago scintillante di Kheled-zâram, e attraverso le nuvole, i tre picchi, conosciuti da queste parti come le Montagne Nebbiose.
str_npc25_home_intro|Oh, un fatto curioso ! Ho sentito storie di questo posto, dove robusti boscaioli vivono in armonia con piante e animali. Si chiamano Beorniani, credo.
str_npc26_home_intro|Maledizione ! Capitano. quello dev'essere il Fosso di Helm !
str_npc27_home_intro|Ehi, guarda !
str_npc18_home_description|I nostri saggi ci hanno riferito ogni cosa circa quella guerra. Se non fosse stato per la mollezza dei sudroni, che persero una battaglia che avrebbero dovuto vincere, i Gondoriani non avrebbero mai vinto la Battaglia del Campo di Celebrant. I carri dei Carrieri vennero fatti a pezzi e molti fieri eroi morirono nel pantano delle Paludi Morte.
str_npc19_home_description|Vorrei vedere i nostri popoli uniti, come sono stati in passato. Senza donne dai biondi capelli che tengono fra le braccia bambini malati, mentre i loro cugini festeggiano con carne e vino, inebriandosi fino a svenire nei loro caldi saloni. Senza che gli uomini delle colline dai capelli scuri guardino con risentimento le mandrie di cavalli possedute da un fattore con i capelli dorati. Quale re, vedrò compiersi la giustizia - ma prima, che i tiranni di Rohan paghino il prezzo delle loro colpe.
str_npc20_home_description|Mi ricordo bene di lui - Thráin, figlio di Thrór. Avventato e vanaglorioso aspirante rampollo di un lignaggio interrotto, pretendente di un trono senza valore ! Sopportò gravi tormenti fra le mie mani. Ma nessuno resiste a lungo alla volontà di Zigûrphel, Comandante. Nessuno. Presi il suo anello, nelle profondità di Dol Guldur, e lo inviai alla Torre Nera per ottenere una grande ricompensa. Mi innalzai allora, ottenendo i favori del Signore Oscuro !
str_npc21_home_description|Per tutta la vita non mi sono avvicinato alla stregoneria, e sarebbe una vergogna iniziare adesso.
str_npc22_home_description|Fu costruita dal Regno del sud, ora è la casa di uno che abbiamo chiamato lo Stregone Bianco, e il come faccia ad aumentare così tanto il suo potere a scapito degli altri è intrigante, senza dubbio.
str_npc23_home_description|Non mi sono mai avventurato a queste distanze, ma ho udito dai nostri esploratori di Bosco Atro che possono esserci dei Nazgul qui. Percepisco una presenza malvagia, ma non riesco a darle un nome. È potente, in ogni caso, quindi restiamo desti.
str_npc24_home_description|A giudicare dalla desolazione e da tutte queste tracce di orchi, temo per il destino del coraggioso Balin e della sua spedizione. Sembra che Moria sia caduta nell'ombra, dovremmo procedere con cautela.
str_npc25_home_description|Non troppo spesso, un mercante itinerante arriva al mercato di Dale e offre il più buon miele che abbia mai assaggiato. Per qualche curioso motivo, dice che "è stato fatto dagli orsi", e ride.
str_npc26_home_description|Le sue dannate mura sono troppo alte e resistenti per essere abbattute dal mio martello. Ritengo che se dovessimo mai scacciare gli ometti dai loro porcili in Edoras, fuggirebbero quaggiù per rifugiarsi dietro le mura.
str_npc27_home_description|Conosci questa città ?
str_npc18_home_description_2|Mi piace essere in marcia con te, oh Grande. I capi della mia gente vorranno avere di nuovo questa terra, che era una volta la loro. Possono prendere quanto vogliono da Gondor e dall'Ovest. Da parte mia, se posso versare il sangue di altri nemici su questo suolo, mi considero felice.
str_npc19_home_description_2|Parlerai a mio favore, non è vero Comandante, quando questa lunga guerra sarà finita? Quale che sia la potenza che regnerà sull'altra - l'Occhio o La Mano? Darai voce alla mia richiesta, che possa avere Edoras e tutto Rohan come feudo, come mia casa e mia proprietà?
str_npc20_home_description_2|Distruggeremo le opere dei Valar, di cui questi Nani sono grandi artefici, qui nella Terra di Mezzo. Si, sarebbe bello disfare cio che ha fatto il Creatore. Noi macineremo i Nani sotto i nostri talloni, frantumeremo gli ultimi regni degli Uomini Bassi e rideremo mentre gli Elfi svaniranno nelle nebbie come fantasmi. Poi giungerà il giorno in cui sarò di fronte alle Caverne dell'Oblio, a Valinor, e invocherò acnora il mio re !
str_npc21_home_description_2|Per tutta la vita non mi sono avvicinato alla stregoneria, e sarebbe un vero peccato iniziare adesso.
str_npc22_home_description_2|Che sia un memoriale per ricordare che anche i più grandi, anche uno degli Istari, può essere corrotto e cadere. Coloro che bramano il potere possono essere sconfitti dal potere stesso, quindi cerchiamo di non indugiare più a lungo.
str_npc23_home_description_2|Sento gli eserciti del male dietro le loro mura, pronti a marciare.. Verso dove ? La fiera Lothlórien ? Verso Dale ? Verso Boscoverde, la mia terra natìa ? Non posso saperlo, ma ti prego di fare tutto ciò che puoi per contrastarli.
